ID,siji,cheliang,weizhangleixin,shijian,zhandian
"1","18","陕A61515","违章停车","2018-04-30 13:35:09","朱雀森林公园"
"2","16","陕A93668","压线","2018-09-12 23:14:55","赵村西"
"3","16","陕G18897","未礼让斑马线","2018-01-15 19:04:38","张家堡南街"
"4","0","陕G83263","未礼让斑马线","2018-01-01 00:00:03","钟楼(东,骡马市)"
"5","45","陕V18524","违章停车","2018-02-06 10:31:49","丈八二路南段"
"6","5","陕J01201","闯红灯","2018-08-12 21:24:54","再生资源市场"
"7","35","陕F64846","未礼让斑马线","2018-04-03 08:36:31","张家堡西"
"8","24","陕F64846","压线","2018-01-03 02:56:15","政法大学南校区"
"9","35","陕C27549","压线","2018-04-09 18:48:53","嘴头"
"10","38","陕F38757","违章停车","2018-03-11 11:52:57","朱宏路(朱宏立交北)"
"11","47","陕C44614","未礼让斑马线","2018-02-04 12:54:46","赵家村"
"12","43","陕C44614","违章停车","2018-06-09 21:25:39","枣园"
"13","44","陕C29225","违章停车","2018-04-20 23:00:48","子午镇"
"14","37","陕V18524","违章停车","2018-05-21 00:25:26","钟楼(南)"
"15","23","陕A12653","压线","2018-06-25 18:37:01","丈八六路"
"16","47","陕A42517","压线","2018-09-15 01:29:19","张家堡西(盐张村)"
"17","9","陕D03692","违章停车","2018-11-02 21:24:55","枣园刘村"
"18","10","陕V18524","压线","2018-02-22 23:00:40","中交西筑"
"19","16","陕C44614","闯红灯","2018-04-29 05:51:08","张家堡新区"
"20","39","陕C43656","违章停车","2018-01-01 01:37:15","纸筋厂"
"21","45","陕A12653","压线","2018-03-02 00:46:55","钟楼(西)"
"22","37","陕A08910","违章停车","2018-02-08 06:40:46","竹园村"
"23","33","陕H91152","闯红灯","2018-01-14 22:51:48","枣园小区"
"24","12","陕C83395","未礼让斑马线","2018-01-01 00:00:04","紫薇B区"
"25","5","陕A93668","违章停车","2018-01-01 00:05:48","政法干校"
"26","18","陕H10788","未礼让斑马线","2018-07-17 19:41:33","至相寺"
"28","35","陕H10788","未礼让斑马线","2018-01-01 00:01:12","丈八六路南段"
"29","43","陕G22057","违章停车","2018-09-12 12:30:13","中联家居"
"30","6","陕B25266","违章停车","2018-03-30 21:41:40","赵西村"
"31","5","陕A12653","违章停车","2018-01-01 00:00:11","张家村"
"32","40","陕D03692","违章停车","2018-07-28 01:36:42","皂河桥"
"33","25","陕G03734","未礼让斑马线","2018-10-15 07:53:24","政法学院"
"34","37","陕D03692","未礼让斑马线","2018-07-17 11:12:55","钟研所"
"35","47","陕E07369","违章停车","2018-01-01 00:10:48","张家坡"
"36","48","陕D03692","未礼让斑马线","2018-01-01 00:00:05","祝村"
"37","1","陕C27011","违章停车","2018-10-05 05:53:59","造纸机械厂"
"38","40","陕H41563","压线","2018-02-03 19:38:19","中山门"
"40","42","陕A12653","违章停车","2018-01-01 00:00:26","肿瘤医院"
"41","40","陕C27011","违章停车","2018-10-28 23:03:45","制药厂"
"43","48","陕K87529","违章停车","2018-02-13 20:22:56","政法学院(陕师大)"
"44","1","陕E25210","违章停车","2018-01-01 00:01:28","智慧城"
"45","6","陕C17006","未礼让斑马线","2018-03-23 17:30:21","振兴公交广告(科技四路东段)"
"46","39","陕D60362","压线","2018-02-28 05:00:53","张家湾村"
"47","10","陕F64846","压线","2018-09-10 04:10:57","丈八三路南段"
"48","10","陕C29225","违章停车","2018-09-21 03:06:42","振兴公交广告(科技四路西段)"
"49","42","陕K87529","压线","2018-07-30 22:42:09","造纸机械厂(阿房四路)"
"50","44","陕D60362","违章停车","2018-08-16 03:48:09","丈八四路"
